Precinct,0_HISP_noise,1_HISP_noise,2_HISP_noise,3_HISP_noise,4_HISP_noise,5_HISP_noise,6_HISP_noise,7_HISP_noise,8_HISP_noise,9_HISP_noise,10_HISP_noise,11_HISP_noise,12_HISP_noise,13_HISP_noise,14_HISP_noise,15_HISP_noise,0_NHWHITE_noise,1_NHWHITE_noise,2_NHWHITE_noise,3_NHWHITE_noise,4_NHWHITE_noise,5_NHWHITE_noise,6_NHWHITE_noise,7_NHWHITE_noise,8_NHWHITE_noise,9_NHWHITE_noise,10_NHWHITE_noise,11_NHWHITE_noise,12_NHWHITE_noise,13_NHWHITE_noise,14_NHWHITE_noise,15_NHWHITE_noise,0_NHBLACK_noise,1_NHBLACK_noise,2_NHBLACK_noise,3_NHBLACK_noise,4_NHBLACK_noise,5_NHBLACK_noise,6_NHBLACK_noise,7_NHBLACK_noise,8_NHBLACK_noise,9_NHBLACK_noise,10_NHBLACK_noise,11_NHBLACK_noise,12_NHBLACK_noise,13_NHBLACK_noise,14_NHBLACK_noise,15_NHBLACK_noise,0_NHAMIN_noise,1_NHAMIN_noise,2_NHAMIN_noise,3_NHAMIN_noise,4_NHAMIN_noise,5_NHAMIN_noise,6_NHAMIN_noise,7_NHAMIN_noise,8_NHAMIN_noise,9_NHAMIN_noise,10_NHAMIN_noise,11_NHAMIN_noise,12_NHAMIN_noise,13_NHAMIN_noise,14_NHAMIN_noise,15_NHAMIN_noise,0_NHASIAN_noise,1_NHASIAN_noise,2_NHASIAN_noise,3_NHASIAN_noise,4_NHASIAN_noise,5_NHASIAN_noise,6_NHASIAN_noise,7_NHASIAN_noise,8_NHASIAN_noise,9_NHASIAN_noise,10_NHASIAN_noise,11_NHASIAN_noise,12_NHASIAN_noise,13_NHASIAN_noise,14_NHASIAN_noise,15_NHASIAN_noise,0_NHHAWAIIAN_noise,1_NHHAWAIIAN_noise,2_NHHAWAIIAN_noise,3_NHHAWAIIAN_noise,4_NHHAWAIIAN_noise,5_NHHAWAIIAN_noise,6_NHHAWAIIAN_noise,7_NHHAWAIIAN_noise,8_NHHAWAIIAN_noise,9_NHHAWAIIAN_noise,10_NHHAWAIIAN_noise,11_NHHAWAIIAN_noise,12_NHHAWAIIAN_noise,13_NHHAWAIIAN_noise,14_NHHAWAIIAN_noise,15_NHHAWAIIAN_noise,0_NHOTHER_noise,1_NHOTHER_noise,2_NHOTHER_noise,3_NHOTHER_noise,4_NHOTHER_noise,5_NHOTHER_noise,6_NHOTHER_noise,7_NHOTHER_noise,8_NHOTHER_noise,9_NHOTHER_noise,10_NHOTHER_noise,11_NHOTHER_noise,12_NHOTHER_noise,13_NHOTHER_noise,14_NHOTHER_noise,15_NHOTHER_noise,0_HVAP_noise,1_HVAP_noise,2_HVAP_noise,3_HVAP_noise,4_HVAP_noise,5_HVAP_noise,6_HVAP_noise,7_HVAP_noise,8_HVAP_noise,9_HVAP_noise,10_HVAP_noise,11_HVAP_noise,12_HVAP_noise,13_HVAP_noise,14_HVAP_noise,15_HVAP_noise,0_WVAP_noise,1_WVAP_noise,2_WVAP_noise,3_WVAP_noise,4_WVAP_noise,5_WVAP_noise,6_WVAP_noise,7_WVAP_noise,8_WVAP_noise,9_WVAP_noise,10_WVAP_noise,11_WVAP_noise,12_WVAP_noise,13_WVAP_noise,14_WVAP_noise,15_WVAP_noise,0_BVAP_noise,1_BVAP_noise,2_BVAP_noise,3_BVAP_noise,4_BVAP_noise,5_BVAP_noise,6_BVAP_noise,7_BVAP_noise,8_BVAP_noise,9_BVAP_noise,10_BVAP_noise,11_BVAP_noise,12_BVAP_noise,13_BVAP_noise,14_BVAP_noise,15_BVAP_noise,0_AMINVAP_noise,1_AMINVAP_noise,2_AMINVAP_noise,3_AMINVAP_noise,4_AMINVAP_noise,5_AMINVAP_noise,6_AMINVAP_noise,7_AMINVAP_noise,8_AMINVAP_noise,9_AMINVAP_noise,10_AMINVAP_noise,11_AMINVAP_noise,12_AMINVAP_noise,13_AMINVAP_noise,14_AMINVAP_noise,15_AMINVAP_noise,0_ASIANVAP_noise,1_ASIANVAP_noise,2_ASIANVAP_noise,3_ASIANVAP_noise,4_ASIANVAP_noise,5_ASIANVAP_noise,6_ASIANVAP_noise,7_ASIANVAP_noise,8_ASIANVAP_noise,9_ASIANVAP_noise,10_ASIANVAP_noise,11_ASIANVAP_noise,12_ASIANVAP_noise,13_ASIANVAP_noise,14_ASIANVAP_noise,15_ASIANVAP_noise,0_HAWAIIANVAP_noise,1_HAWAIIANVAP_noise,2_HAWAIIANVAP_noise,3_HAWAIIANVAP_noise,4_HAWAIIANVAP_noise,5_HAWAIIANVAP_noise,6_HAWAIIANVAP_noise,7_HAWAIIANVAP_noise,8_HAWAIIANVAP_noise,9_HAWAIIANVAP_noise,10_HAWAIIANVAP_noise,11_HAWAIIANVAP_noise,12_HAWAIIANVAP_noise,13_HAWAIIANVAP_noise,14_HAWAIIANVAP_noise,15_HAWAIIANVAP_noise,0_OTHERVAP_noise,1_OTHERVAP_noise,2_OTHERVAP_noise,3_OTHERVAP_noise,4_OTHERVAP_noise,5_OTHERVAP_noise,6_OTHERVAP_noise,7_OTHERVAP_noise,8_OTHERVAP_noise,9_OTHERVAP_noise,10_OTHERVAP_noise,11_OTHERVAP_noise,12_OTHERVAP_noise,13_OTHERVAP_noise,14_OTHERVAP_noise,15_OTHERVAP_noise,0_VAP_noise,1_VAP_noise,2_VAP_noise,3_VAP_noise,4_VAP_noise,5_VAP_noise,6_VAP_noise,7_VAP_noise,8_VAP_noise,9_VAP_noise,10_VAP_noise,11_VAP_noise,12_VAP_noise,13_VAP_noise,14_VAP_noise,15_VAP_noise
1670103,142.0,171.0,224.0,134.0,119.0,151.0,119.0,185.0,145.0,169.0,144.0,184.0,152.0,177.0,129.0,183.0,1020.0,1066.0,1140.0,1111.0,1150.0,1090.0,1110.0,1149.0,1116.0,1179.0,1082.0,1153.0,1092.0,1057.0,1150.0,1110.0,7.0,18.0,13.0,30.0,14.0,7.0,0.0,9.0,6.0,0.0,2.0,2.0,15.0,5.0,0.0,13.0,17.0,16.0,1.0,26.0,12.0,9.0,8.0,47.0,9.0,0.0,11.0,28.0,1.0,38.0,33.0,8.0,5.0,1.0,15.0,28.0,22.0,2.0,7.0,0.0,20.0,10.0,0.0,0.0,5.0,2.0,15.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.0,0.0,15.0,24.0,19.0,10.0,4.0,39.0,3.0,20.0,0.0,22.0,28.0,0.0,0.0,17.0,37.0,21.0,14.0,70.0,130.0,101.0,98.0,71.0,82.0,58.0,97.0,94.0,77.0,98.0,103.0,107.0,110.0,90.0,108.0,921.0,939.0,1006.0,963.0,1037.0,962.0,1012.0,1042.0,983.0,1047.0,948.0,1025.0,978.0,986.0,1051.0,1013.0,7.0,18.0,11.0,30.0,13.0,7.0,0.0,9.0,6.0,0.0,2.0,0.0,15.0,5.0,0.0,13.0,17.0,16.0,1.0,26.0,12.0,9.0,8.0,12.0,9.0,0.0,11.0,28.0,1.0,31.0,18.0,0.0,5.0,1.0,0.0,28.0,17.0,2.0,7.0,0.0,12.0,4.0,0.0,0.0,5.0,2.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.0,0.0,15.0,21.0,15.0,0.0,4.0,39.0,3.0,20.0,0.0,12.0,22.0,0.0,0.0,17.0,16.0,17.0,14.0,1041.0,1119.0,1119.0,1149.0,1189.0,1065.0,1105.0,1160.0,1116.0,1159.0,1059.0,1156.0,1123.0,1155.0,1186.0,1173.0
1670104,227.0,225.0,220.0,188.0,233.0,231.0,255.0,192.0,175.0,239.0,187.0,202.0,206.0,221.0,248.0,161.0,937.0,912.0,823.0,835.0,799.0,871.0,853.0,792.0,820.0,810.0,890.0,769.0,890.0,910.0,791.0,841.0,4.0,15.0,11.0,32.0,0.0,0.0,6.0,12.0,6.0,13.0,9.0,42.0,3.0,12.0,0.0,30.0,15.0,0.0,14.0,3.0,10.0,4.0,8.0,35.0,8.0,0.0,14.0,11.0,13.0,2.0,24.0,21.0,8.0,6.0,9.0,10.0,5.0,11.0,7.0,0.0,4.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,15.0,14.0,11.0,15.0,15.0,0.0,2.0,0.0,10.0,14.0,19.0,6.0,0.0,19.0,19.0,30.0,145.0,129.0,136.0,97.0,129.0,134.0,153.0,129.0,120.0,138.0,122.0,142.0,119.0,113.0,148.0,99.0,828.0,826.0,745.0,788.0,720.0,802.0,747.0,703.0,747.0,713.0,816.0,685.0,781.0,762.0,706.0,744.0,2.0,15.0,11.0,32.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,28.0,3.0,12.0,0.0,27.0,15.0,0.0,13.0,0.0,10.0,4.0,8.0,26.0,8.0,0.0,14.0,6.0,0.0,2.0,7.0,21.0,8.0,0.0,0.0,10.0,4.0,11.0,7.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,13.0,0.0,15.0,15.0,0.0,0.0,0.0,10.0,1.0,19.0,6.0,0.0,18.0,6.0,17.0,1003.0,983.0,905.0,942.0,878.0,951.0,915.0,858.0,891.0,867.0,979.0,868.0,904.0,907.0,867.0,908.0
1670105,183.0,116.0,146.0,109.0,138.0,114.0,104.0,143.0,120.0,119.0,123.0,133.0,97.0,146.0,133.0,152.0,860.0,835.0,839.0,831.0,785.0,787.0,830.0,831.0,824.0,822.0,824.0,853.0,821.0,844.0,830.0,800.0,37.0,9.0,11.0,27.0,0.0,11.0,12.0,17.0,31.0,8.0,5.0,5.0,13.0,50.0,20.0,0.0,5.0,0.0,12.0,6.0,1.0,7.0,3.0,11.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,7.0,14.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,22.0,22.0,5.0,23.0,0.0,15.0,18.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,11.0,20.0,2.0,8.0,0.0,40.0,12.0,0.0,0.0,12.0,3.0,26.0,32.0,19.0,42.0,122.0,115.0,135.0,92.0,138.0,107.0,104.0,123.0,107.0,119.0,100.0,109.0,97.0,146.0,117.0,152.0,844.0,835.0,834.0,827.0,785.0,787.0,809.0,830.0,811.0,820.0,818.0,841.0,821.0,844.0,812.0,800.0,15.0,9.0,11.0,27.0,0.0,11.0,12.0,17.0,31.0,8.0,5.0,5.0,13.0,34.0,16.0,0.0,5.0,0.0,12.0,4.0,1.0,7.0,3.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,7.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,18.0,22.0,5.0,23.0,0.0,15.0,18.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,11.0,20.0,2.0,8.0,0.0,40.0,12.0,0.0,0.0,12.0,3.0,26.0,19.0,19.0,25.0,1024.0,970.0,1012.0,952.0,932.0,913.0,976.0,997.0,967.0,969.0,942.0,981.0,957.0,1058.0,983.0,1001.0
1670142,1266.0,1335.0,1317.0,1395.0,1211.0,1295.0,1343.0,1380.0,1341.0,1340.0,1347.0,1277.0,1288.0,1353.0,1390.0,1403.0,2438.0,2543.0,2513.0,2416.0,2480.0,2444.0,2393.0,2424.0,2431.0,2336.0,2393.0,2414.0,2296.0,2397.0,2362.0,2399.0,524.0,586.0,641.0,600.0,734.0,690.0,566.0,587.0,563.0,557.0,603.0,548.0,612.0,660.0,601.0,651.0,23.0,0.0,12.0,2.0,0.0,48.0,4.0,0.0,15.0,13.0,2.0,2.0,30.0,12.0,2.0,2.0,8.0,30.0,55.0,33.0,50.0,50.0,38.0,18.0,1.0,20.0,8.0,10.0,6.0,26.0,11.0,28.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,66.0,90.0,95.0,102.0,60.0,46.0,113.0,27.0,85.0,35.0,57.0,108.0,87.0,38.0,91.0,55.0,792.0,838.0,857.0,879.0,860.0,787.0,795.0,896.0,820.0,780.0,911.0,852.0,798.0,856.0,868.0,884.0,2029.0,2041.0,2037.0,1985.0,2023.0,2051.0,1995.0,1993.0,1989.0,1927.0,2004.0,2006.0,1923.0,1998.0,1987.0,1980.0,379.0,427.0,462.0,412.0,540.0,512.0,439.0,425.0,414.0,410.0,440.0,445.0,469.0,437.0,449.0,470.0,23.0,0.0,12.0,2.0,0.0,28.0,4.0,0.0,15.0,13.0,2.0,0.0,30.0,6.0,2.0,2.0,2.0,27.0,40.0,24.0,28.0,10.0,23.0,18.0,0.0,0.0,7.0,10.0,3.0,15.0,6.0,20.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,24.0,22.0,55.0,52.0,25.0,42.0,31.0,21.0,36.0,18.0,15.0,30.0,28.0,32.0,38.0,10.0,3249.0,3365.0,3463.0,3354.0,3476.0,3430.0,3287.0,3353.0,3274.0,3148.0,3379.0,3343.0,3260.0,3344.0,3350.0,3366.0
1670144,913.0,593.0,940.0,990.0,757.0,968.0,957.0,929.0,784.0,1024.0,816.0,759.0,717.0,808.0,808.0,819.0,2508.0,2501.0,2579.0,2396.0,2496.0,2400.0,2334.0,2429.0,2540.0,2415.0,2391.0,2329.0,2389.0,2515.0,2399.0,2554.0,318.0,246.0,311.0,203.0,361.0,231.0,298.0,265.0,268.0,310.0,264.0,273.0,234.0,197.0,202.0,240.0,33.0,0.0,0.0,10.0,11.0,18.0,14.0,27.0,20.0,15.0,11.0,14.0,16.0,20.0,0.0,0.0,23.0,60.0,42.0,50.0,51.0,88.0,35.0,28.0,91.0,46.0,23.0,81.0,29.0,48.0,52.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,55.0,20.0,52.0,81.0,68.0,22.0,62.0,61.0,36.0,79.0,50.0,79.0,30.0,136.0,90.0,539.0,368.0,654.0,551.0,496.0,591.0,627.0,474.0,603.0,591.0,514.0,482.0,413.0,469.0,471.0,526.0,2029.0,2049.0,2064.0,1935.0,2022.0,1962.0,1965.0,1998.0,2060.0,2011.0,1961.0,1928.0,1981.0,1962.0,1972.0,2082.0,199.0,186.0,218.0,125.0,246.0,127.0,211.0,110.0,173.0,176.0,132.0,169.0,177.0,131.0,122.0,186.0,15.0,0.0,0.0,10.0,11.0,18.0,14.0,27.0,11.0,15.0,11.0,0.0,13.0,20.0,0.0,0.0,12.0,29.0,17.0,17.0,38.0,73.0,29.0,16.0,75.0,38.0,23.0,66.0,13.0,36.0,52.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,36.0,9.0,36.0,48.0,39.0,19.0,38.0,46.0,25.0,48.0,50.0,32.0,30.0,68.0,57.0,2814.0,2668.0,2962.0,2674.0,2861.0,2810.0,2865.0,2663.0,2968.0,2856.0,2689.0,2695.0,2629.0,2648.0,2685.0,2923.0
1670146,1179.0,1210.0,1148.0,1294.0,1173.0,1081.0,1306.0,1311.0,1111.0,1119.0,1335.0,1291.0,1184.0,1125.0,1210.0,1216.0,2578.0,2365.0,2540.0,2524.0,2403.0,2374.0,2512.0,2465.0,2445.0,2472.0,2535.0,2434.0,2547.0,2440.0,2541.0,2423.0,482.0,522.0,562.0,634.0,524.0,511.0,443.0,456.0,587.0,562.0,479.0,563.0,579.0,524.0,534.0,609.0,9.0,22.0,33.0,35.0,21.0,0.0,19.0,23.0,4.0,5.0,30.0,11.0,18.0,0.0,12.0,19.0,34.0,23.0,0.0,33.0,27.0,21.0,22.0,54.0,41.0,39.0,89.0,26.0,46.0,49.0,29.0,15.0,0.0,3.0,7.0,0.0,0.0,11.0,4.0,7.0,0.0,11.0,4.0,1.0,0.0,0.0,0.0,0.0,46.0,86.0,67.0,55.0,31.0,39.0,33.0,19.0,34.0,52.0,27.0,33.0,52.0,53.0,70.0,59.0,798.0,783.0,752.0,843.0,822.0,729.0,873.0,842.0,746.0,743.0,844.0,793.0,755.0,788.0,822.0,721.0,1954.0,1794.0,1963.0,1927.0,1891.0,1859.0,1928.0,1910.0,1861.0,1842.0,2031.0,1851.0,1958.0,1862.0,1915.0,1815.0,344.0,316.0,400.0,416.0,343.0,365.0,377.0,342.0,364.0,425.0,368.0,395.0,441.0,393.0,362.0,464.0,9.0,22.0,33.0,17.0,21.0,0.0,12.0,4.0,1.0,5.0,30.0,11.0,16.0,0.0,12.0,19.0,27.0,20.0,0.0,33.0,24.0,16.0,7.0,54.0,27.0,27.0,82.0,21.0,32.0,32.0,21.0,9.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,7.0,0.0,11.0,4.0,1.0,0.0,0.0,0.0,0.0,46.0,62.0,16.0,1.0,19.0,35.0,25.0,13.0,3.0,30.0,17.0,18.0,7.0,23.0,43.0,33.0,3178.0,2997.0,3164.0,3237.0,3120.0,3015.0,3226.0,3172.0,3002.0,3083.0,3376.0,3090.0,3209.0,3098.0,3175.0,3061.0
1670148,1829.0,1701.0,1743.0,1874.0,1844.0,2053.0,1839.0,1775.0,1834.0,1769.0,1838.0,1790.0,1777.0,1896.0,1721.0,1837.0,3700.0,3711.0,3497.0,3697.0,3750.0,3743.0,3715.0,3611.0,3586.0,3587.0,3600.0,3600.0,3785.0,3627.0,3688.0,3684.0,697.0,751.0,697.0,694.0,662.0,745.0,647.0,716.0,543.0,722.0,703.0,679.0,618.0,577.0,729.0,669.0,12.0,10.0,10.0,43.0,16.0,1.0,23.0,18.0,9.0,21.0,9.0,39.0,37.0,2.0,23.0,7.0,45.0,45.0,59.0,63.0,55.0,39.0,15.0,62.0,46.0,42.0,20.0,54.0,73.0,60.0,41.0,85.0,0.0,11.0,0.0,0.0,0.0,14.0,4.0,2.0,0.0,7.0,16.0,0.0,1.0,0.0,5.0,1.0,115.0,72.0,64.0,77.0,95.0,85.0,86.0,128.0,95.0,76.0,107.0,58.0,84.0,104.0,90.0,75.0,1146.0,1118.0,1116.0,1233.0,1178.0,1338.0,1067.0,1034.0,1178.0,1105.0,1114.0,1113.0,1153.0,1146.0,1052.0,1221.0,3007.0,3005.0,2814.0,3020.0,2993.0,3003.0,3078.0,2919.0,2929.0,2978.0,2915.0,2991.0,3060.0,2984.0,3026.0,3014.0,433.0,490.0,494.0,422.0,411.0,522.0,400.0,474.0,420.0,406.0,446.0,446.0,377.0,400.0,471.0,449.0,9.0,9.0,4.0,23.0,5.0,1.0,23.0,0.0,9.0,21.0,9.0,39.0,34.0,2.0,23.0,2.0,28.0,42.0,59.0,63.0,55.0,36.0,0.0,58.0,31.0,32.0,15.0,39.0,55.0,56.0,35.0,44.0,0.0,11.0,0.0,0.0,0.0,14.0,4.0,2.0,0.0,7.0,16.0,0.0,1.0,0.0,5.0,0.0,28.0,36.0,45.0,47.0,41.0,54.0,33.0,50.0,60.0,50.0,87.0,37.0,44.0,31.0,36.0,21.0,4651.0,4711.0,4532.0,4808.0,4683.0,4968.0,4605.0,4537.0,4627.0,4599.0,4602.0,4665.0,4724.0,4619.0,4648.0,4751.0
1670150,1236.0,1176.0,1213.0,1066.0,1076.0,1025.0,1077.0,1042.0,1138.0,1086.0,1113.0,1156.0,1201.0,1097.0,1151.0,1149.0,2198.0,2218.0,2177.0,2263.0,2223.0,2259.0,2197.0,2331.0,2257.0,2280.0,2230.0,2322.0,2202.0,2257.0,2204.0,2258.0,376.0,379.0,442.0,416.0,436.0,444.0,466.0,371.0,464.0,374.0,464.0,403.0,468.0,481.0,480.0,420.0,20.0,8.0,0.0,2.0,8.0,2.0,54.0,17.0,40.0,26.0,9.0,0.0,8.0,38.0,10.0,12.0,27.0,35.0,27.0,68.0,62.0,38.0,41.0,54.0,54.0,42.0,43.0,65.0,53.0,60.0,45.0,42.0,0.0,10.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,30.0,48.0,45.0,38.0,65.0,41.0,38.0,50.0,56.0,51.0,70.0,56.0,57.0,33.0,56.0,28.0,753.0,782.0,816.0,720.0,712.0,668.0,748.0,704.0,747.0,763.0,741.0,777.0,794.0,736.0,754.0,769.0,1744.0,1780.0,1726.0,1777.0,1738.0,1776.0,1738.0,1802.0,1769.0,1816.0,1760.0,1831.0,1740.0,1789.0,1763.0,1801.0,278.0,312.0,297.0,302.0,318.0,321.0,356.0,312.0,320.0,294.0,322.0,294.0,328.0,356.0,306.0,287.0,20.0,8.0,0.0,2.0,6.0,0.0,17.0,17.0,13.0,26.0,9.0,0.0,8.0,31.0,10.0,12.0,23.0,29.0,27.0,50.0,62.0,24.0,41.0,51.0,35.0,42.0,40.0,48.0,29.0,39.0,39.0,42.0,0.0,8.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,30.0,16.0,37.0,22.0,24.0,16.0,19.0,35.0,36.0,33.0,49.0,47.0,36.0,21.0,32.0,17.0,2848.0,2935.0,2903.0,2873.0,2860.0,2805.0,2932.0,2921.0,2920.0,2974.0,2921.0,2997.0,2948.0,2972.0,2904.0,2928.0
1670151,1223.0,1205.0,1315.0,1321.0,1406.0,1328.0,1448.0,1335.0,1349.0,1415.0,1250.0,1344.0,1369.0,1329.0,1329.0,1398.0,3648.0,3618.0,3476.0,3643.0,3561.0,3596.0,3566.0,3585.0,3582.0,3548.0,3502.0,3545.0,3617.0,3613.0,3561.0,3516.0,207.0,170.0,138.0,137.0,170.0,71.0,130.0,110.0,77.0,118.0,116.0,204.0,93.0,97.0,164.0,112.0,4.0,32.0,9.0,39.0,9.0,12.0,27.0,15.0,22.0,31.0,51.0,35.0,43.0,50.0,14.0,35.0,277.0,258.0,316.0,283.0,365.0,285.0,292.0,297.0,289.0,346.0,326.0,345.0,316.0,285.0,308.0,296.0,14.0,4.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,70.0,66.0,80.0,69.0,72.0,49.0,93.0,77.0,60.0,85.0,63.0,74.0,69.0,71.0,53.0,37.0,811.0,727.0,825.0,830.0,897.0,797.0,936.0,819.0,834.0,879.0,775.0,844.0,870.0,792.0,792.0,862.0,3134.0,3105.0,2971.0,3105.0,3026.0,3124.0,3048.0,3052.0,3062.0,3024.0,2999.0,3039.0,3087.0,3096.0,3042.0,3007.0,85.0,124.0,96.0,90.0,62.0,39.0,66.0,79.0,52.0,43.0,59.0,113.0,73.0,59.0,115.0,56.0,4.0,32.0,3.0,38.0,9.0,4.0,27.0,15.0,22.0,31.0,51.0,34.0,41.0,43.0,14.0,35.0,215.0,189.0,240.0,198.0,282.0,199.0,186.0,228.0,208.0,244.0,237.0,229.0,199.0,219.0,215.0,212.0,14.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,61.0,54.0,32.0,38.0,36.0,49.0,80.0,28.0,59.0,52.0,34.0,45.0,53.0,40.0,45.0,17.0,4324.0,4231.0,4167.0,4299.0,4336.0,4212.0,4343.0,4221.0,4237.0,4273.0,4155.0,4304.0,4327.0,4249.0,4226.0,4189.0
1670152,620.0,540.0,597.0,491.0,539.0,537.0,547.0,513.0,680.0,486.0,556.0,579.0,530.0,566.0,606.0,561.0,5249.0,5210.0,5065.0,5076.0,5142.0,5043.0,5126.0,5109.0,5142.0,5139.0,5129.0,5161.0,5152.0,4999.0,5183.0,5207.0,242.0,175.0,223.0,176.0,120.0,207.0,196.0,215.0,198.0,204.0,182.0,170.0,192.0,262.0,135.0,223.0,7.0,55.0,15.0,1.0,13.0,3.0,0.0,20.0,0.0,4.0,27.0,3.0,8.0,0.0,18.0,7.0,145.0,172.0,125.0,166.0,180.0,165.0,173.0,197.0,182.0,198.0,165.0,171.0,122.0,142.0,194.0,143.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,118.0,112.0,121.0,129.0,97.0,88.0,58.0,60.0,116.0,92.0,108.0,66.0,102.0,71.0,61.0,79.0,377.0,358.0,395.0,356.0,358.0,408.0,395.0,376.0,430.0,361.0,409.0,439.0,336.0,391.0,393.0,361.0,3898.0,3875.0,3827.0,3751.0,3855.0,3736.0,3777.0,3812.0,3777.0,3790.0,3836.0,3843.0,3897.0,3754.0,3878.0,3880.0,189.0,149.0,134.0,154.0,110.0,146.0,166.0,164.0,171.0,178.0,143.0,117.0,174.0,213.0,109.0,197.0,7.0,55.0,15.0,1.0,13.0,3.0,0.0,20.0,0.0,4.0,27.0,3.0,8.0,0.0,18.0,7.0,115.0,155.0,102.0,144.0,180.0,157.0,153.0,179.0,141.0,165.0,148.0,137.0,98.0,122.0,167.0,117.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,56.0,58.0,63.0,32.0,35.0,36.0,10.0,52.0,20.0,50.0,24.0,55.0,40.0,10.0,36.0,4647.0,4654.0,4531.0,4469.0,4548.0,4485.0,4527.0,4561.0,4571.0,4521.0,4613.0,4563.0,4568.0,4520.0,4575.0,4598.0
